Year,Scopus,WoS
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,1,1
2005,4,0
2006,2,1
2007,7,5
2008,3,4
2009,0,0
2010,1,1
2011,2,2
2012,3,4
2013,2,3
2014,10,6
2015,4,5
