Year,Scopus,WoS
2000,15,0
2001,39,0
2002,6,6
2003,0,0
2004,37,13
2005,200,0
2006,68,26
2007,96,6
2008,123,87
2009,167,135
2010,227,223
2011,112,109
2012,176,120
2013,153,139
2014,121,124
2015,27,39
